工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
python,北京·西城区·动物园,奇安信集团,15-30K,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
Python研发工程师,北京·朝阳区·三元桥,云智慧,15-25K·13薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/f45a1058a4581c9d1XV_3Ni-Eg~~.html
量化策略平台Python开发工程师,北京·西城区·金融街,中泰证券,20-30K·15薪,本科,互联网金融,3-5年,https://www.zhipin.com/gongsi/dd4c49c4db61b0ba1nx63tW_.html
虚拟化研发工程师,北京·海淀区·颐和园,北京知道创宇,20-40K·14薪,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/d272aa0ee2b0eaa41XRz09y1.html
软件开发工程师-CDN方向,北京,小米,25-50K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
Python高级开发工程师 (MJ000313),北京·海淀区·西三旗,旷视MEGVII,20-40K·14薪,本科,计算机服务,5-10年,https://www.zhipin.com/gongsi/075e0d17cd137e971nV43NU~.html
后端开发工程师,北京·朝阳区·望京,数坤网络科技股份...,20-40K·16薪,本科,医疗健康,3-5年,https://www.zhipin.com/gongsi/293548364dd0485f1nxz2dW1FVM~.html
爬虫工程师 (MJ000289),北京·朝阳区·望京,领创集团,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/d96c18ce365ee0f10HV42tm4.html
资深软件研发工程师 - Appliance,北京·海淀区·五道口,Veritas,35-40K,本科,企业服务,5-10年,https://www.zhipin.com/gongsi/8a6dea8e3e856f371HV63ti9.html
python,北京·海淀区·西北旺,软通动力信息技术集团,11-22K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
云平台高级研发工程师(J11553),北京,医渡云,20-40K·14薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/8f580ba1be2477691Xx70966.html
后端开发工程师,北京,青藤云安全,20-40K·14薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/8de1f130f2c1340d0XZ_2g~~.html
python研发工程师,北京·朝阳区·百子湾,迈外迪,18-25K,本科,新零售,3-5年,https://www.zhipin.com/gongsi/7fdcdfff003aeae11XZ_3dW9Eg~~.html
客户端开发工程师,北京·海淀区·双榆树,今日头条,25-50K·15薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
Python后端开发工程师,北京·海淀区·五道口,魔门塔科技,30-60K·14薪,硕士,计算机软件,3-5年,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
Python开发工程师,北京·朝阳区·立水桥,途游游戏,20-40K·14薪,本科,游戏,1-3年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
Python开发工程师,北京·朝阳区·酒仙桥,360集团,20-30K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
容器云开发工程师,北京·朝阳区·太阳宫,BOSS直聘,26-50K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
高级软件工程师,北京·海淀区·学院路,志翔科技,20-35K,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
国际化定价补贴平台开发（Java/Python/Go）,北京·海淀区·西北旺,滴滴,25-50K,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
研究院-模型生产平台开发工程师,北京·海淀区·中关村,SenseTime,20-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
服务端开发工程师,北京·东城区·朝阳门,艾迈科斯媒体科技,15-25K·15薪,本科,互联网,在校/应届,https://www.zhipin.com/gongsi/91d2124471f8d59e0nV-2dq4FQ~~.html
Python,北京·西城区·长椿街,中国移动研究院,24-28K,硕士,数据服务,3-5年,https://www.zhipin.com/gongsi/82520fefdaff620f1nJ92NS9EQ~~.html
后台研发高级工程师 — 懂车帝,北京·海淀区·牡丹园,北京字节跳动,25-50K·15薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python工程师,北京·海淀区·西北旺,华为技术有限公司,15-30K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
地图用户战略中心_用户增长后端研发工程师,北京·海淀区·上地,百度,25-26K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
Python开发工程师,北京,中软国际,15-30K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
后端部署开发工程师（外派字节跳动）,北京·海淀区·学院路,亿达信息,13-22K·13薪,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/f4d243a526496fe21XB_29S_.html
风控后台开发工程师,北京·海淀区·中关村,小赢科技,15-30K,本科,互联网,1年以内,https://www.zhipin.com/gongsi/e1458eab4777c3e50HF92Nm6.html
公共出行-后台开发（高级）工程师,北京·海淀区·西北旺,腾讯,40-50K,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
python开发工程师,北京·朝阳区·望京,奇安信集团,20-35K·14薪,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
软件开发工程师,北京,华为,18-35K·16薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
云操作系统研发工程师,北京·海淀区·知春路,神策数据,25-45K·15薪,本科,数据服务,经验不限,https://www.zhipin.com/gongsi/4845e074ed747d6a33V629S0Ew~~.html
